,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.45,2.18,0.43,-0.0,0.0,-1.14,-0.0,0.0,-1.42,-0.0,-0.01,-0.0
TP53,0.0,2.37,0.01,-0.36,-0.0,-0.0,-0.0,-0.28,-0.88,0.52,-0.02,-0.0
KRAS,0.0,0.0,2.28,0.0,-0.0,-2.03,-0.5,-0.0,-1.09,0.51,-0.41,-0.27
PIK3CA,0.0,-0.0,0.31,1.26,-0.0,-0.11,0.0,-0.01,-0.0,-0.0,0.0,0.0
FBXW7,0.0,-0.0,-0.0,-0.0,0.79,0.0,0.0,0.01,0.01,-0.0,0.0,0.0
BRAF,-0.55,-0.0,-1.52,-0.0,-0.0,1.18,-0.0,-0.0,-0.0,0.0,-0.0,0.0
ARID1A,-0.0,-0.0,-0.0,0.24,-0.0,0.0,0.14,0.0,1.04,-0.0,1.27,0.0
SOX9,0.0,-0.0,-0.0,-0.0,0.01,-0.0,0.0,0.64,-0.0,-0.0,0.0,-0.0
RNF43,-1.17,-0.01,-0.37,-0.0,0.01,1.49,0.0,0.0,0.8,-0.0,-0.0,0.0
SMAD4,-0.0,0.0,0.0,-0.24,-0.2,0.0,-0.04,-0.0,-0.0,0.59,-0.01,-0.0
KMT2D,-0.0,-0.0,-0.0,0.12,0.48,-0.0,-0.0,0.01,2.02,-0.0,-0.1,0.0
PTPRS,-0.0,-0.0,-0.0,0.01,0.0,0.01,0.38,-0.0,0.97,-0.0,0.92,-0.07
Observation,1.06,3.57,0.88,0.39,-0.09,0.54,0.53,0.23,0.47,0.61,0.37,0.23
