,TP53,KRAS,EGFR,STK11,RBM10,KEAP1,ATM,SMARCA4,PTPRD,NF1,PIK3CA,BRAF
TP53,0.82,-0.0,0.0,-0.97,-0.59,-0.0,-0.46,0.0,0.01,0.03,0.0,0.0
KRAS,-0.22,0.29,-0.0,0.7,0.22,0.0,0.98,0.0,0.0,-0.56,0.0,-0.0
EGFR,1.21,-1.89,-0.15,-1.47,0.48,-1.08,-0.0,-0.06,-0.53,-1.22,0.48,-0.0
STK11,-0.06,0.0,-0.0,-0.5,-0.01,0.0,0.0,0.0,0.0,-0.0,-0.01,0.0
RBM10,-0.52,0.0,0.0,-0.03,-0.6,-0.06,0.0,-0.0,-0.0,-0.0,0.0,-0.0
KEAP1,-0.0,0.0,-0.0,2.54,-0.01,-1.47,-0.0,0.0,-0.0,0.0,-0.0,-0.0
ATM,-0.07,0.0,-0.0,0.0,0.0,-0.0,-1.43,-0.0,-0.0,0.0,-0.0,-0.0
SMARCA4,0.0,0.0,-0.0,0.46,-0.0,1.31,-0.0,-1.68,-0.0,-0.0,-0.0,0.0
PTPRD,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-1.47,0.0,-0.0,0.0
NF1,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-1.48,-0.0,0.0
PIK3CA,0.0,-0.0,0.0,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.64,-0.0
BRAF,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-1.68
Observation,0.88,2.03,4.52,0.42,0.11,0.57,0.3,0.0,-0.0,0.34,0.0,1.63
